Product,Status,Release Date,Code Name,Vertical Segment,Cores,Threads,Lithography(nm),Max. Turbo Freq.(GHz),Base Freq.(GHz),TDP(W),Cache(MB),Cache Info,Max Memory Size(GB),Memory Types,Max Memory Speed(MHz),Max Memory Channels,Integrated Graphics,Sockets Supported,Max Operating Temp.(°C)
Pentium Gold 8500,Launched,Q1'22,Alder Lake,Mobile,5,6,7,4.40,N/A,29,8,Intel Smart Cache,64,"Up to LPDDR5 5200 MT/s, Up to LPDDR4x 4267 MT/s",N/A,2,Intel UHD Graphics for 12th Gen Intel Processors,FCBGA1781,100
Pentium Gold 8505,Launched,Q1'22,Alder Lake,Mobile,5,6,7,4.40,N/A,55,8,Intel Smart Cache,64,"Up to DDR5 4800 MT/s, Up to DDR4 3200 MT/s, Up to LPDDR5 5200 MT/s, Up to LPDDR4x 4267 MT/s",N/A,2,Intel UHD Graphics for 12th Gen Intel Processors,FCBGA1744,100
Pentium Gold 8505 (with IPU),Launched,Q1'22,Alder Lake,Mobile,5,6,7,4.40,N/A,55,8,Intel Smart Cache,64,"Up to DDR5 4800 MT/s, Up to DDR4 3200 MT/s, Up to LPDDR5x 5200 MT/s, Up to LPDDR4x 4267 MT/s",N/A,2,Intel UHD Graphics for 12th Gen Intel Processors,FCBGA1744,100
Pentium Gold G7400,Launched,Q1'22,Alder Lake,Desktop,2,4,7,N/A,3.70,46,6,Intel Smart Cache,128,"Up to DDR5 4800 MT/s, Up to DDR4 3200 MT/s",N/A,2,Intel UHD Graphics 710,FCLGA1700,100
Pentium Gold G7400E,Launched,Q1'22,Alder Lake,Embedded,2,4,7,N/A,3.60,46,6,Intel Smart Cache,128,"Up to DDR5 4800 MT/s, Up to DDR4 3200 MT/s",N/A,2,Intel UHD Graphics 710,FCLGA1700,100
Pentium Gold G7400T,Launched,Q1'22,Alder Lake,Desktop,2,4,7,N/A,3.10,35,6,Intel Smart Cache,128,"Up to DDR5 4800 MT/s, Up to DDR4 3200 MT/s",N/A,2,Intel UHD Graphics 710,FCLGA1700,100
Pentium Gold G7400TE,Launched,Q1'22,Alder Lake,Embedded,2,4,7,N/A,3.00,35,6,Intel Smart Cache,128,"Up to DDR5 4800 MT/s, Up to DDR4 3200 MT/s",N/A,2,Intel UHD Graphics 710,FCLGA1700,100
Pentium Gold G6405,Launched,Q1'21,Comet Lake,Desktop,2,4,14,N/A,4.10,58,4,Intel Smart Cache,128,DDR4,2666,2,Intel UHD 610 Graphics,FCLGA1200,100
Pentium Gold G6405T,Launched,Q1'21,Comet Lake,Desktop,2,4,14,N/A,3.50,35,4,Intel Smart Cache,128,DDR4,2666,2,Intel UHD 610 Graphics,FCLGA1200,100
Pentium Gold G6505,Launched,Q1'21,Comet Lake,Desktop,2,4,14,N/A,4.20,58,4,Intel Smart Cache,128,DDR4,2666,2,Intel UHD 630 Graphics,FCLGA1200,100
Pentium Gold G6505T,Launched,Q1'21,Comet Lake,Desktop,2,4,14,N/A,3.60,35,4,Intel Smart Cache,128,DDR4,2666,2,Intel UHD 630 Graphics,FCLGA1200,100
Pentium Gold G6605,Launched,Q1'21,Comet Lake,Desktop,2,4,14,N/A,4.30,58,4,Intel Smart Cache,128,DDR4,2666,2,Intel UHD 630 Graphics,FCLGA1200,100
Pentium Gold 6500Y,Discontinued,Q1'21,Amber Lake Y,Mobile,2,4,14,3.40,1.10,5,4,Intel Smart Cache,16,"LPDDR3-1866, DDR3L-1600",N/A,2,Intel UHD 615 Graphics,FCBGA1515,100
Pentium Gold 7505,Discontinued,Q4'20,Tiger Lake,Mobile,2,4,10,N/A,3.50,15,4,Intel Smart Cache,64,"DDR4-3200, LPDDR4x-3733",N/A,2,Intel UHD Graphics for 11th Gen Intel Core Processors,FCBGA1449,100
Pentium Gold G6400,Launched,Q2'20,Comet Lake,Desktop,2,4,14,N/A,4.00,58,4,Intel Smart Cache,128,DDR4,2666,2,Intel UHD 610 Graphics,FCLGA1200,100
Pentium Gold G6400E,Launched,Q2'20,Comet Lake,Embedded,2,4,14,N/A,3.80,58,4,Intel Smart Cache,128,DDR4,2400,2,Intel UHD 610 Graphics,FCLGA1200,100
Pentium Gold G6400T,Launched,Q2'20,Comet Lake,Desktop,2,4,14,N/A,3.40,35,4,Intel Smart Cache,128,DDR4,2666,2,Intel UHD 610 Graphics,FCLGA1200,100
Pentium Gold G6400TE,Launched,Q2'20,Comet Lake,Embedded,2,4,14,N/A,3.20,35,4,Intel Smart Cache,128,DDR4,2400,2,Intel UHD 610 Graphics,FCLGA1200,100
Pentium Gold G6500,Launched,Q2'20,Comet Lake,Desktop,2,4,14,N/A,4.10,58,4,Intel Smart Cache,128,DDR4,2666,2,Intel UHD 630 Graphics,FCLGA1200,100
Pentium Gold G6500T,Launched,Q2'20,Comet Lake,Desktop,2,4,14,N/A,3.50,35,4,Intel Smart Cache,128,DDR4,2666,2,Intel UHD 630 Graphics,FCLGA1200,100
Pentium Gold G6600,Launched,Q2'20,Comet Lake,Desktop,2,4,14,N/A,4.20,58,4,Intel Smart Cache,128,DDR4,2666,2,Intel UHD 630 Graphics,FCLGA1200,100
Pentium Gold 6405U,Discontinued,Q4'19,Comet Lake,Mobile,2,4,14,N/A,2.40,15,2,N/A,64,"DDR4-2400, LPDDR3-2133",N/A,2,Intel UHD Graphics for 10th Gen Intel Core Processors,FCBGA1528,100
Pentium Gold G5420,Discontinued,Q2'19,Coffee Lake,Desktop,2,4,14,N/A,3.80,54,4,Intel Smart Cache,64,DDR4,2400,2,Intel UHD 610 Graphics,FCLGA1151,100
Pentium Gold G5420T,Discontinued,Q2'19,Coffee Lake,Desktop,2,4,14,N/A,3.20,35,4,Intel Smart Cache,64,DDR4,2400,2,Intel UHD 610 Graphics,FCLGA1151,88
Pentium Gold G5600T,Discontinued,Q2'19,Coffee Lake,Desktop,2,4,14,N/A,3.30,35,4,Intel Smart Cache,64,DDR4,2400,2,Intel UHD 630 Graphics,FCLGA1151,88
Pentium Gold G5620,Discontinued,Q2'19,Coffee Lake,Desktop,2,4,14,N/A,4.00,54,4,Intel Smart Cache,64,DDR4,2400,2,Intel UHD 630 Graphics,FCLGA1151,100
Pentium Gold 5405U,Discontinued,Q1'19,Whiskey Lake,Mobile,2,4,14,N/A,2.30,15,2,Intel Smart Cache,64,"DDR4-2133, LPDDR3-1866",N/A,2,Intel UHD Graphics for 8th Gen Intel Processors,FCBGA1528,100
Pentium Gold 4417U,Discontinued,Q1'19,Kaby Lake R,Mobile,2,4,14,N/A,2.30,15,2,Intel Smart Cache,32,"DDR4-2133, LPDDR3-1866, DDR3L-1600",N/A,2,Intel HD 610 Graphics,FCBGA1356,100
Pentium Gold 4425Y,Discontinued,Q1'19,Amber Lake,Mobile,2,4,14,N/A,1.70,6,2,N/A,16,"LPDDR3-1866, DDR3L-1600",N/A,2,Intel UHD 615 Graphics,FCBGA1515,100
Pentium Gold G5400,Launched,Q2'18,Coffee Lake,Desktop,2,4,14,N/A,3.70,58,4,Intel Smart Cache,64,DDR4,2400,2,Intel UHD 610 Graphics,FCLGA1151,100
Pentium Gold G5400T,Launched,Q2'18,Coffee Lake,Desktop,2,4,14,N/A,3.10,35,4,Intel Smart Cache,64,DDR4,2400,2,Intel UHD 610 Graphics,FCLGA1151,100
Pentium Gold G5500,Discontinued,Q2'18,Coffee Lake,Desktop,2,4,14,N/A,3.80,54,4,Intel Smart Cache,64,DDR4,2400,2,Intel UHD 630 Graphics,FCLGA1151,100
Pentium Gold G5500T,Discontinued,Q2'18,Coffee Lake,Desktop,2,4,14,N/A,3.20,35,4,Intel Smart Cache,64,DDR4,2400,2,Intel UHD 630 Graphics,FCLGA1151,88
Pentium Gold G5600,Discontinued,Q2'18,Coffee Lake,Desktop,2,4,14,N/A,3.90,54,4,Intel Smart Cache,64,DDR4,2400,2,Intel UHD 630 Graphics,FCLGA1151,100
Pentium Gold 4415Y,Discontinued,Q2'17,Kaby Lake,Mobile,2,4,14,N/A,1.60,6,2,Intel Smart Cache,16,"LPDDR3-1866, DDR3L-1600",N/A,2,Intel HD 615 Graphics,FCBGA1515,100
Pentium Gold 4410Y,Discontinued,Q1'17,Kaby Lake,Mobile,2,4,14,N/A,1.50,6,2,Intel Smart Cache,16,"LPDDR3-1866, DDR3L-1600",N/A,2,Intel HD 615 Graphics,FCBGA1515,100
Pentium Gold 4415U,Discontinued,Q1'17,Kaby Lake,Mobile,2,4,14,N/A,2.30,15,2,Intel Smart Cache,32,"DDR4-2133, LPDDR3-1866, DDR3L-1600",N/A,2,Intel HD 610 Graphics,"FCBGA1356,FPBGA1356",100
Pentium Silver N6000,Launched,Q1'21,Jasper Lake,Mobile,4,4,10,N/A,1.10,6,4,Intel Smart Cache,16,"DDR4, LPDDR4x",2933,2,Intel UHD Graphics,FCBGA1338,105
Pentium Silver N6005,Launched,Q1'21,Jasper Lake,Mobile,4,4,10,N/A,2.00,10,4,Intel Smart Cache,16,"DDR4, LPDDR4x,",2933,2,Intel UHD Graphics,FCBGA1338,105
Pentium Silver J5040,Discontinued,Q4'19,Gemini Lake Refresh,Mobile,4,4,14,N/A,2.00,10,4,N/A,8,"DDR4/LPDDR4 up to 2400 MT/s",N/A,2,Intel UHD 605 Graphics,FCBGA1090,105
Pentium Silver N5030,Discontinued,Q4'19,Gemini Lake Refresh,Mobile,4,4,14,N/A,1.10,6,4,N/A,8,"DDR4/LPDDR4 up to 2400 MT/s",N/A,2,Intel UHD 605 Graphics,FCBGA1090,105
Pentium Silver J5005,Discontinued,Q4'17,Gemini Lake,Mobile,4,4,14,N/A,1.50,10,4,N/A,8,"DDR4/LPDDR4 up to 2400 MT/s",N/A,2,Intel UHD 605 Graphics,FCBGA1090,105
Pentium Silver N5000,Discontinued,Q4'17,Gemini Lake,Mobile,4,4,14,N/A,1.10,6,4,N/A,8,"DDR4/LPDDR4 up to 2400 MT/s",N/A,2,Intel UHD 605 Graphics,FCBGA1090,105
Pentium D1519,Discontinued,Q2'16,Broadwell,Server,4,8,7,2.10,1.50,25,6,N/A,128,"DDR4, DDR3",2133,2,N/A,FCBGA1667,85
Pentium D1507,Discontinued,Q4'15,Broadwell,Server,2,2,14,N/A,1.20,20,3,N/A,128,"DDR4, DDR3",1600,2,N/A,FCBGA1667,N/A
Pentium D1508,Discontinued,Q4'15,Broadwell,Server,2,4,14,2.60,2.20,25,3,N/A,128,"DDR4, DDR3",1866,2,N/A,FCBGA1667,N/A
Pentium D1509,Discontinued,Q4'15,Broadwell,Server,2,2,14,N/A,1.50,19,3,N/A,128,"DDR4, DDR3",1600,2,N/A,FCBGA1667,N/A
Pentium D1517,Discontinued,Q4'15,Broadwell,Server,4,8,7,2.20,1.60,25,6,N/A,128,"DDR4, DDR3",2133,2,N/A,FCBGA1667,N/A
Pentium G4560,Discontinued,Q1'17,Kaby Lake,Desktop,2,4,14,N/A,3.50,54,3,N/A,64,"DDR4-2133/2400, DDR3L-1333/1600 @ 1.35V",N/A,2,Intel HD 610 Graphics,FCLGA1151,100
Pentium G4560T,Discontinued,Q1'17,Kaby Lake,Desktop,2,4,14,N/A,2.90,35,3,N/A,64,"DDR4-2133/2400, DDR3L-1333/1600 @ 1.35V",N/A,2,Intel HD 610 Graphics,FCLGA1151,92
Pentium G4600,Discontinued,Q1'17,Kaby Lake,Desktop,2,4,14,N/A,3.60,51,3,N/A,64,"DDR4-2133/2400, DDR3L-1333/1600 @ 1.35V",N/A,2,Intel HD 630 Graphics,FCLGA1151,100
Pentium G4600T,Discontinued,Q1'17,Kaby Lake,Desktop,2,4,14,N/A,3.00,35,3,N/A,64,"DDR4-2133/2400, DDR3L-1333/1600 @ 1.35V",N/A,2,Intel HD 630 Graphics,FCLGA1151,92
Pentium G4620,Discontinued,Q1'17,Kaby Lake,Desktop,2,4,14,N/A,3.70,51,3,N/A,64,"DDR4-2133/2400, DDR3L-1333/1600 @ 1.35V",N/A,2,Intel HD 630 Graphics,FCLGA1151,100
Pentium G4400TE,Launched,Q4'15,Skylake,Embedded,2,2,14,N/A,2.40,35,3,Intel Smart Cache,64,"DDR4-1866/2133, DDR3L-1333/1600 @ 1.35V",N/A,2,Intel HD 510 Graphics,FCLGA1151,N/A
Pentium G4400,Launched,Q3'15,Skylake,Desktop,2,2,14,N/A,3.30,54,3,Intel Smart Cache,64,"DDR4-1866/2133, DDR3L-1333/1600 @ 1.35V",N/A,2,Intel HD 510 Graphics,FCLGA1151,N/A
Pentium G4400T,Discontinued,Q3'15,Skylake,Desktop,2,2,14,N/A,2.90,35,3,Intel Smart Cache,64,"DDR4-1866/2133, DDR3L-1333/1600 @ 1.35V",N/A,2,Intel HD 510 Graphics,FCLGA1151,N/A
Pentium G4500,Discontinued,Q3'15,Skylake,Desktop,2,2,14,N/A,3.50,51,3,Intel Smart Cache,64,"DDR4-1866/2133, DDR3L-1333/1600 @ 1.35V",N/A,2,Intel HD 530 Graphics,FCLGA1151,N/A
Pentium G4500T,Discontinued,Q3'15,Skylake,Desktop,2,2,14,N/A,3.00,35,3,Intel Smart Cache,64,"DDR4-1866/2133, DDR3L-1333/1600 @ 1.35V",N/A,2,Intel HD 530 Graphics,FCLGA1151,N/A
