Product,Status,Release Date,Code Name,Cores,Threads,Lithography(nm),Max. Turbo Freq.(GHz),Base Freq.(GHz),TDP(W),Cache(MB),Cache Info,Max Memory Size(GB),Memory Types,Max Memory Speed(MHz),Integrated Graphics
Atom C5115,Launched,Q2'22,Parker Ridge,4,4,10,N/A,2.80,43,9,N/A,256,DDR4,2933,N/A
Atom C5125,Launched,Q2'22,Parker Ridge,8,8,10,N/A,2.80,50,9,N/A,256,DDR4,2933,N/A
Atom C5310,Launched,Q2'22,Parker Ridge,4,4,10,N/A,1.60,32,9,N/A,256,DDR4,2400,N/A
Atom C5315,Launched,Q2'22,Parker Ridge,4,4,10,N/A,2.40,38,9,N/A,256,DDR4,2400,N/A
Atom C5320,Launched,Q2'22,Parker Ridge,8,8,10,N/A,2.40,41,9,N/A,256,DDR4,2933,N/A
Atom C5325,Launched,Q2'22,Parker Ridge,8,8,10,N/A,2.40,41,9,N/A,256,DDR4,2933,N/A
Atom C3338R,Launched,Q2'20,Denverton,2,2,14,2.20,1.80,10.5,4,N/A,128,DDR4,1866,N/A
Atom C3436L,Launched,Q2'20,Denverton,4,4,14,N/A,1.30,10.75,8,N/A,256,DDR4,1866,N/A
Atom C3558R,Launched,Q2'20,Denverton,4,4,14,N/A,2.40,17,8,N/A,256,DDR4,2400,N/A
Atom C3758R,Launched,Q2'20,Denverton,8,8,14,N/A,2.40,26,16,N/A,256,DDR4,2400,N/A
Atom C3336,Launched,Q3'18,Denverton,2,2,14,N/A,1.50,11,4,N/A,128,DDR4,1866,N/A
Atom C3308,Launched,Q3'17,Denverton,2,2,14,2.10,1.60,9.5,4,N/A,128,DDR4,1866,N/A
Atom C3508,Launched,Q3'17,Denverton,4,4,14,1.60,1.60,11.5,8,N/A,256,DDR4,1866,N/A
Atom C3538,Launched,Q3'17,Denverton,4,4,14,2.10,2.10,15,8,N/A,256,DDR4,2133,N/A
Atom C3558,Launched,Q3'17,Denverton,4,4,14,2.20,2.20,16,8,N/A,256,DDR4,2133,N/A
Atom C3708,Launched,Q3'17,Denverton,8,8,14,1.70,1.70,17,16,N/A,256,DDR4,2133,N/A
Atom C3750,Launched,Q3'17,Denverton,8,8,14,2.40,2.40,21,16,N/A,256,DDR4,2400,N/A
Atom C3758,Launched,Q3'17,Denverton,8,8,14,2.20,2.20,25,16,N/A,256,DDR4,2400,N/A
Atom C3808,Launched,Q3'17,Denverton,12,12,14,2.00,2.00,25,12,N/A,256,DDR4,2133,N/A
Atom C3830,Launched,Q3'17,Denverton,12,12,14,2.30,1.90,21.5,12,N/A,256,DDR4,2133,N/A
Atom C3850,Launched,Q3'17,Denverton,12,12,14,2.40,2.10,25,12,N/A,256,DDR4,2400,N/A
Atom C3858,Launched,Q3'17,Denverton,12,12,14,2.00,2.00,25,12,N/A,256,DDR4,2400,N/A
Atom C3950,Launched,Q3'17,Denverton,16,16,14,2.20,1.70,24,16,N/A,256,DDR4,2400,N/A
Atom C3955,Launched,Q3'17,Denverton,16,16,14,2.40,2.10,32,16,N/A,256,DDR4,2400,N/A
Atom C3958,Launched,Q3'17,Denverton,16,16,14,2.00,2.00,31,16,N/A,256,DDR4,2400,N/A
Atom C2316,Launched,Q3'17,Rangeley,2,2,22,N/A,1.50,7,1,N/A,16,DDR,1333,N/A
Atom C2516,Launched,Q3'17,Rangeley,4,4,22,N/A,1.40,10,2,N/A,32,DDR,1333,N/A
Atom C3338,Launched,Q1'17,Rangeley,2,2,14,2.20,1.50,8.5,4,N/A,128,DDR4,1866,N/A
Atom C2308,Launched,Q2'14,Rangeley,2,2,22,N/A,1.25,6,1,N/A,16,DDR,1333,N/A
Atom C2508,Launched,Q2'14,Rangeley,4,4,22,N/A,1.25,9.5,2,N/A,32,DDR3,1333,N/A
Atom C2338,Launched,Q3'13,Rangeley,2,2,22,2.00,1.70,7,1,N/A,16,DDR3/DDR3L,1333,N/A
Atom C2350,Discontinued,Q3'13,Avoton,2,2,22,2.00,1.70,6,1,N/A,16,DDR3/DDR3L,1333,N/A
Atom C2358,Launched,Q3'13,Rangeley,2,2,22,2.00,1.70,7,1,N/A,16,DDR3/DDR3L,1333,N/A
Atom C2518,Launched,Q3'13,Rangeley,4,4,22,N/A,1.70,13,2,N/A,32,DDR3/DDR3L,1333,N/A
Atom C2530,Discontinued,Q3'13,Avoton,4,4,22,2.40,1.70,9,2,N/A,32,DDR3/DDR3L,1333,N/A
Atom C2538,Launched,Q3'13,Rangeley,4,4,22,N/A,2.40,15,2,N/A,64,DDR3/DDR3L,1600,N/A
Atom C2550,Discontinued,Q3'13,Avoton,4,4,22,2.60,2.40,14,2,N/A,64,DDR3/DDR3L,1600,N/A
Atom C2558,Launched,Q3'13,Rangeley,4,4,22,N/A,2.40,15,2,N/A,64,DDR3/DDR3L,1600,N/A
Atom C2718,Launched,Q3'13,Rangeley,8,8,22,N/A,2.00,18,4,N/A,32,DDR3/DDR3L,1333,N/A
Atom C2730,Discontinued,Q3'13,Avoton,8,8,22,2.40,1.70,12,4,N/A,32,DDR3/DDR3L,1600,N/A
Atom C2738,Launched,Q3'13,Rangeley,8,8,22,N/A,2.40,20,4,N/A,64,DDR3/DDR3L,1600,N/A
Atom C2750,Discontinued,Q3'13,Avoton,8,8,22,2.60,2.40,20,4,N/A,64,DDR3/DDR3L,1600,N/A
Atom C2758,Launched,Q3'13,Rangeley,8,8,22,N/A,2.40,20,4,N/A,64,DDR3/DDR3L,1600,N/A
Atom D2550,Discontinued,Q1'12,Cedarview,2,4,32,N/A,1.86,10,1,L2 Cache,4,DDR3,800/1066,Name Unknown
Atom D2500,Discontinued,Q3'11,Cedarview,2,2,32,N/A,1.86,10,1,L2 Cache,4,DDR3,800/1066,Name Unknown
Atom D2700,Discontinued,Q3'11,Cedarview,2,4,32,N/A,2.13,10,1,L2 Cache,4,DDR3,800/1066,Name Unknown
Atom E3805,Launched,Q4'14,Bay Trail,2,2,22,N/A,1.33,3,1,L2 Cache,8,DDR3L,1067,N/A
Atom E3815,Launched,Q4'13,Bay Trail,1,1,22,N/A,1.46,5,0.5,L2 Cache,8,DDR3L,1067,Intel HD Graphics for Intel Atom Z3700 Processor Series
Atom E3825,Launched,Q4'13,Bay Trail,2,2,22,N/A,1.33,6,1,L2 Cache,8,DDR3L,1067,Intel HD Graphics for Intel Atom Z3700 Processor Series
Atom E3826,Launched,Q4'13,Bay Trail,2,2,22,N/A,1.46,7,1,L2 Cache,8,DDR3L,1067,Intel HD Graphics for Intel Atom Z3700 Processor Series
Atom E3827,Launched,Q4'13,Bay Trail,2,2,22,N/A,1.75,8,1,L2 Cache,8,DDR3L,1333,Intel HD Graphics for Intel Atom Z3700 Processor Series
Atom E3845,Launched,Q4'13,Bay Trail,4,4,22,N/A,1.91,10,2,L2 Cache,8,DDR3L,1333,Intel HD Graphics for Intel Atom Z3700 Processor Series
Atom N2600,Discontinued,Q4'11,Cedarview,2,4,32,N/A,1.60,3.5,1,L2 Cache,2.44,DDR3,N/A,Name Unknown
Atom N2800,Discontinued,Q4'11,Cedarview,2,4,32,N/A,1.86,6.5,1,L2 Cache,4.88,DDR3,N/A,Name Unknown
Atom P5322,Launched,Q2'22,Snow Ridge,8,8,10,N/A,2.20,55,9,N/A,256,DDR4,2400,N/A
Atom P5332,Launched,Q2'22,Snow Ridge,12,12,10,N/A,2.20,61,13.5,N/A,256,DDR4,2400,N/A
Atom P5342,Launched,Q2'22,Snow Ridge,16,16,10,N/A,2.20,71,18,N/A,256,DDR4,2667,N/A
Atom P5352,Launched,Q2'22,Snow Ridge,20,20,10,N/A,2.20,78,22.5,N/A,256,DDR4,2933,N/A
Atom P5362,Launched,Q2'22,Snow Ridge,24,24,10,N/A,2.20,83,27,N/A,2556,DDR4,2933,N/A
Atom P5721,Launched,Q2'22,Snow Ridge,8,8,10,N/A,2.20,48,9,N/A,256,DDR4,2933,N/A
Atom P5731,Launched,Q2'22,Snow Ridge,12,12,10,N/A,2.20,54.5,13.5,N/A,256,DDR4,2933,N/A
Atom P5742,Launched,Q2'22,Snow Ridge,16,16,10,N/A,2.20,67,18,N/A,256,DDR4,2933,N/A
Atom P5752,Launched,Q2'22,Snow Ridge,20,20,10,N/A,2.20,74.5,22.5,N/A,256,DDR4,2933,N/A
Atom P5921B,Discontinued,Q1'20,Snow Ridge,8,8,10,N/A,2.20,N/A,9,L2 Cache,64,DDR4,2933,N/A
Atom P5931B,Launched,Q1'20,Snow Ridge,12,12,10,N/A,2.20,N/A,13.5,L2 Cache,128,DDR4,2933,N/A
Atom P5942B,Discontinued,Q1'20,Snow Ridge,16,16,10,N/A,2.20,N/A,18,L2 Cache,128,DDR4,2933,N/A
Atom P5962B,Launched,Q1'20,Snow Ridge,24,24,10,N/A,2.20,N/A,27,L2 Cache,128,DDR4,2933,N/A
Atom S1220,Discontinued,Q4'12,Centerton,2,4,32,N/A,1.60,8.1,1,N/A,8,DDR3,1333,N/A
Atom S1240,Discontinued,Q4'12,Centerton,2,4,32,N/A,1.60,6.1,1,N/A,8,DDR3,1333,N/A
Atom S1260,Discontinued,Q4'12,Centerton,2,4,32,N/A,2.00,8.5,1,N/A,8,DDR3,1333,N/A
Atom x6214RE,Launched,Q1'23,Elkhart Lake,2,2,10,N/A,1.40,6,1.5,L2 Cache,32,"4x32 LPDDR4/x 3200MT/s Max 16GB / 2x64 DDR4 3200MT/s Max 32GB LPDDR4/x & DDR4 with In-Band ECC",N/A,Intel UHD Graphics for 10th Gen Intel Core Processors
Atom x6416RE,Launched,Q1'23,Elkhart Lake,4,4,10,N/A,1.70,9,1.5,L2 Cache,32,"4x32 LPDDR4/x 3200MT/s Max 16GB / 2x64 DDR4 3200MT/s Max 32GB LPDDR4/x & DDR4 with In-Band ECC",N/A,Intel UHD Graphics for 10th Gen Intel Core Processors
Atom x7211E,Launched,Q1'23,Alder Lake-N,2,N/A,7,3.20,N/A,6,6,N/A,16,"DDR4 3200 MT/s, DDR5 4800 MT/s, LPDDR5 4800 MT/s",4800,Intel UHD Graphics
Atom x7213E,Launched,Q1'23,Alder Lake-N,2,N/A,7,3.20,N/A,10,6,N/A,16,"DDR4 3200 MT/s, DDR5 4800 MT/s, LPDDR5 4800 MT/s",4800,Intel UHD Graphics
Atom x7425E,Launched,Q1'23,Alder Lake-N,4,N/A,7,3.40,N/A,12,6,N/A,16,"DDR4 3200 MT/s, DDR5 4800 MT/s, LPDDR5 4800 MT/s",4800,Intel UHD Graphics
Atom x6200FE,Launched,Q1'21,Elkhart Lake,2,2,10,N/A,1.00,4.5,1.5,N/A,32,"4x32 LPDDR4/x 2400MT/s Max 16GB / 2x64 DDR4 2400MT/s Max 32GB LPDDR4/x & DDR4 with In-Band ECC",N/A,N/A
Atom x6211E,Launched,Q1'21,Elkhart Lake,2,2,10,N/A,1.30,6,1.5,L2 Cache,32,"4x32 LPDDR4/x 3200MT/s Max 16GB / 2x64 DDR4 3200MT/s Max 32GB LPDDR4/x & DDR4 with In-Band ECC",N/A,Intel UHD Graphics for 10th Gen Intel Core Processors
Atom x6212RE,Launched,Q1'21,Elkhart Lake,2,2,10,N/A,1.20,6,1.5,L2 Cache,32,"4x32 LPDDR4/x 3200MT/s Max 16GB / 2x64 DDR4 3200MT/s Max 32GB LPDDR4/x & DDR4 with In-Band ECC",N/A,Intel UHD Graphics for 10th Gen Intel Core Processors
Atom x6413E,Launched,Q1'21,Elkhart Lake,4,4,10,N/A,1.50,9,1.5,L2 Cache,32,"4x32 LPDDR4/x 3200MT/s Max 16GB / 2x64 DDR4 3200MT/s Max 32GB LPDDR4/x & DDR4 with In-Band ECC",N/A,Intel UHD Graphics for 10th Gen Intel Core Processors
Atom x6414RE,Launched,Q1'21,Elkhart Lake,4,4,10,N/A,1.50,9,1.5,L2 Cache,32,"4x32 LPDDR4/x 3200MT/s Max 16GB / 2x64 DDR4 3200MT/s Max 32GB LPDDR4/x & DDR4 with In-Band ECC",N/A,Intel UHD Graphics for 10th Gen Intel Core Processors
Atom x6425E,Launched,Q1'21,Elkhart Lake,4,4,10,N/A,2.00,12,1.5,L2 Cache,32,"4x32 LPDDR4/x 3733MT/s (8GB, 16GB @3200MT/s) / 2x64 DDR4 3200MT/s Max 32GB, LPDDR4/x & DDR4 with In-Band ECC",N/A,Intel UHD Graphics for 10th Gen Intel Core Processors
Atom x6425RE,Launched,Q1'21,Elkhart Lake,4,4,10,N/A,1.90,12,1.5,L2 Cache,32,"4x32 LPDDR4/x 4267MT/s Max (8GB, 16GB @3200MT/s) / 2x64 DDR4 3200MT/s Max 32GB, Max 32GB with In-Band ECC",N/A,Intel UHD Graphics for 10th Gen Intel Core Processors
Atom x6427FE,Launched,Q1'21,Elkhart Lake,4,4,10,N/A,1.90,12,1.5,L2 Cache,32,"4x32 LPDDR4/x 4267MT/s Max (8GB, 16GB @3200MT/s) / 2x64 DDR4 3200MT/s Max 32GB, Max 32GB with In-Band ECC",N/A,Intel UHD Graphics for 10th Gen Intel Core Processors
Atom x3-C3205RK,Discontinued,Q4'16,SoFIA 3G R,4,N/A,28,N/A,N/A,N/A,1,N/A,2,"1x32 LPDDR2/3 1066 2x16 DDR3L 1333",N/A,Name Unknown
Atom x3-C3235RK,Discontinued,Q4'15,SoFIA 3G R,4,N/A,28,N/A,N/A,N/A,1,N/A,2,"1x32 LPDDR2/3 1066 2x16 DDR3L 1333",N/A,Name Unknown
Atom x3-C3265RK,Discontinued,Q4'16,SoFIA 3G R,4,N/A,28,N/A,N/A,N/A,1,L2 Cache,2,"1x32 LPDDR2/3 1066 2x16 DDR3L 1333",N/A,Name Unknown
Atom x3-C3295RK,Discontinued,Q4'16,SoFIA 3G R,4,N/A,28,N/A,N/A,N/A,1,L2 Cache,2,"1x32 LPDDR2/3 1066 2x16 DDR3L 1333",N/A,Name Unknown
Atom x5-E3930,Launched,Q4'16,Apollo Lake,2,2,14,N/A,1.30,6.5,2,L2 Cache,8,"DDR3L (ECC and Non-ECC) up to 1866 MT/s; LPDDR4 up to 2133 MT/s",N/A,Intel HD 500 Graphics
Atom x5-E3940,Launched,Q4'16,Apollo Lake,4,4,14,N/A,1.60,9.5,2,L2 Cache,8,"DDR3L (ECC and Non-ECC) up to 1866 MT/s; LPDDR4 up to 2133 MT/s",N/A,Intel HD 500 Graphics
