Product,Status,Release Date,Cores,Max. Turbo Freq.(GHz),Base Freq.(GHz),Cache(MB),Cache Info,Integrated Graphics
Celeron G3930E,Launched,Q2'17,2,N/A,2.90,2,N/A,Intel HD 610 Graphics
Celeron G3930TE,Launched,Q2'17,2,N/A,2.70,2,N/A,Intel HD 610 Graphics
Celeron G4900,Launched,Q2'18,2,N/A,3.10,2,Intel Smart Cache,Intel UHD 610 Graphics
Celeron G4920,Discontinued,Q2'18,2,N/A,3.20,2,Intel Smart Cache,Intel UHD 610 Graphics
Celeron G4900T,Launched,Q2'18,2,N/A,2.90,2,Intel Smart Cache,Intel UHD 610 Graphics
Celeron G4930T,Launched,Q2'18,2,N/A,3.00,2,Intel Smart Cache,Intel UHD 610 Graphics
Celeron G4930,Launched,Q2'19,2,N/A,3.20,2,Intel Smart Cache,Intel UHD 610 Graphics
Celeron G4950,Launched,Q2'19,2,N/A,3.30,2,Intel Smart Cache,Intel UHD 610 Graphics
Celeron G4932E,Launched,Q2'19,2,1.90,1.90,2,N/A,Intel UHD 610 Graphics
Celeron G4930E,Launched,Q2'19,2,2.40,2.40,2,N/A,Intel UHD 610 Graphics
Celeron G5900,Launched,Q2'20,2,N/A,3.40,2,Intel Smart Cache,Intel UHD 610 Graphics
Celeron G5900T,Launched,Q2'20,2,N/A,3.20,2,Intel Smart Cache,Intel UHD 610 Graphics
Celeron G5920,Launched,Q2'20,2,N/A,3.50,2,Intel Smart Cache,Intel UHD 610 Graphics
Celeron G5905T,Launched,Q3'20,2,N/A,3.30,4,Intel Smart Cache,Intel UHD 610 Graphics
Celeron G5925,Launched,Q3'20,2,N/A,3.60,4,Intel Smart Cache,Intel UHD 610 Graphics
Celeron G5905,Launched,Q3'20,2,N/A,3.50,4,Intel Smart Cache,Intel UHD 610 Graphics
Celeron G5900TE,Launched,Q2'20,2,N/A,3.00,2,Intel Smart Cache,Intel UHD 610 Graphics
Celeron G5900E,Launched,Q2'20,2,N/A,3.20,2,Intel Smart Cache,Intel UHD 610 Graphics
Celeron G1610,Discontinued,Q1'13,2,N/A,2.60,2,Intel Smart Cache,Intel HD Graphics for 3rd Generation Intel Processors
Celeron G1620,Launched,Q1'13,2,N/A,2.70,2,Intel Smart Cache,Intel HD Graphics for 3rd Generation Intel Processors
Celeron G1610T,Discontinued,Q1'13,2,N/A,2.30,2,Intel Smart Cache,Intel HD Graphics for 3rd Generation Intel Processors
Celeron G1630,Discontinued,Q3'13,2,N/A,2.80,2,Intel Smart Cache,Intel HD Graphics for 3rd Generation Intel Processors
