Product,Status,Release Date,Cores,Threads,Lithography(nm),Max. Turbo Freq.(GHz),Base Freq.(GHz),Cache(MB),TDP(W),Cache Info,Integrated Graphics
Core i7-7740X X Series,Discontinued,Q2'17,4,8,14,4.50,4.30,112,8,N/A,N/A
Core i5-7640X X Series,Discontinued,Q2'17,4,4,14,4.20,4.00,112,6,N/A,N/A
Core i7-7800X X Series,Discontinued,Q2'17,6,12,14,4.00,3.50,140,8.25,L3 Cache,N/A
Core i9-7900X X Series,Discontinued,Q2'17,10,20,14,4.30,3.30,140,13.75,L3 Cache,N/A
Core i7-7820X X Series,Discontinued,Q2'17,8,16,14,4.30,3.60,140,11,L3 Cache,N/A
Core i9-7920X X Series,Discontinued,Q3'17,12,24,14,4.30,2.90,140,16.5,L3 Cache,N/A
Core i9-7940X X Series,Discontinued,Q3'17,14,28,N/A,4.30,3.10,165,19.25,N/A,N/A
Core i9-7960X X Series,Discontinued,Q3'17,16,32,N/A,4.20,2.80,165,22,N/A,N/A
Core i9-7980XE Extreme Edition,Discontinued,Q3'17,18,36,N/A,4.20,2.60,165,24.75,N/A,N/A
Core i9-9820X X Series,Discontinued,Q4'18,10,20,14,4.10,3.30,165,16.5,Intel Smart Cache,N/A
Core i7-9800X X Series,Discontinued,Q4'18,8,16,14,4.40,3.80,165,16.5,Intel Smart Cache,N/A
Core i9-9960X X Series,Discontinued,Q4'18,16,32,14,4.40,3.10,165,22,Intel Smart Cache,N/A
Core i9-9900X X Series,Discontinued,Q4'18,10,20,14,4.40,3.50,165,19.25,Intel Smart Cache,N/A
Core i9-9940X X Series,Discontinued,Q4'18,14,28,14,4.40,3.30,165,19.25,Intel Smart Cache,N/A
Core i9-9980XE Extreme Edition,Discontinued,Q4'18,18,36,14,4.40,3.00,165,24.75,Intel Smart Cache,N/A
Core i9-9920X X Series,Discontinued,Q4'18,12,24,14,4.40,3.50,165,19.25,Intel Smart Cache,N/A
Core i9-10920X X Series,Launched,Q4'19,12,24,14,4.60,3.50,165,19.25,Intel Smart Cache,N/A
Core i9-10940X X Series,Launched,Q4'19,14,28,14,4.60,3.30,165,19.25,Intel Smart Cache,N/A
Core i9-10980XE Extreme Edition,Launched,Q4'19,18,36,14,4.60,3.00,165,24.75,Intel Smart Cache,N/A
