Product,Status,Release Date,Cores,Max. Turbo Freq.(GHz),Base Freq.(GHz),Cache(MB),Cache Info,Integrated Graphics
Pentium Gold G5620,Launched,Q2'19,2,N/A,4.00,4,Intel Smart Cache,Intel UHD 630 Graphics
Pentium Gold G5600T,Launched,Q2'19,2,N/A,3.30,4,Intel Smart Cache,Intel UHD 630 Graphics
Pentium Gold G5600,Launched,Q2'18,2,N/A,3.90,4,Intel Smart Cache,Intel UHD 630 Graphics
Pentium Gold G5500T,Launched,Q2'18,2,N/A,3.20,4,Intel Smart Cache,Intel UHD 630 Graphics
Pentium Gold G5500,Launched,Q2'18,2,N/A,3.80,4,Intel Smart Cache,Intel UHD 630 Graphics
Pentium Gold G5420T,Launched,Q2'19,2,N/A,3.20,4,Intel Smart Cache,Intel UHD 610 Graphics
Pentium Gold G5420,Launched,Q2'19,2,N/A,3.80,4,Intel Smart Cache,Intel UHD 610 Graphics
Pentium Gold 6405U,Launched,Q4'19,2,N/A,2.40,2,N/A,Intel UHD Graphics
Pentium Gold 5405U,Launched,Q1'19,2,N/A,2.30,2,Intel Smart Cache,Intel UHD 610 Graphics
Pentium Gold G5400T,Launched,Q2'18,2,N/A,3.10,4,Intel Smart Cache,Intel UHD 610 Graphics
Pentium Gold G5400,Launched,Q2'18,2,N/A,3.70,4,Intel Smart Cache,Intel UHD 610 Graphics
Pentium Gold 4425Y,Launched,Q1'19,2,N/A,1.70,2,N/A,Intel UHD 615 Graphics
Pentium Gold 4417U,Launched,Q1'19,2,N/A,2.30,2,Intel Smart Cache,Intel UHD 610 Graphics
Pentium Gold 4415U,Launched,Q1'17,2,N/A,2.30,2,Intel Smart Cache,Intel UHD 610 Graphics
Pentium Gold 4415Y,Launched,Q2'17,2,N/A,1.60,2,Intel Smart Cache,Intel UHD 615 Graphics
Pentium Gold 4410Y,Launched,Q1'17,2,N/A,1.50,2,Intel Smart Cache,Intel HD 615 Graphics
Pentium Silver J5040,Launched,Q4'19,4,N/A,2.00,4,N/A,Intel UHD 605 Graphics
Pentium Silver J5005,Launched,Q4'17,4,N/A,1.50,4,N/A,Intel UHD 605 Graphics
Pentium Silver N5030,Launched,Q4'19,4,N/A,1.10,4,N/A,Intel UHD 605 Graphics
Pentium Silver N5000,Launched,Q4'17,4,N/A,1.10,4,N/A,Intel UHD 605 Graphics
Pentium D1519,Launched,Q2'16,4,2.10,1.50,6,N/A,N/A
Pentium D1517,Launched,Q4'15,4,2.20,1.60,6,N/A,N/A
Pentium D1509,Launched,Q4'15,2,N/A,1.50,3,N/A,N/A
Pentium D1508,Launched,Q4'15,2,2.60,2.20,3,N/A,N/A
Pentium D1507,Launched,Q4'15,2,N/A,1.20,3,N/A,N/A
Pentium G4620,Launched,Q1'17,2,N/A,3.70,3,N/A,Intel HD 630 Graphics
Pentium G4600T,Launched,Q1'17,2,N/A,3.00,3,N/A,Intel HD 630 Graphics
Pentium G4600,Launched,Q1'17,2,N/A,3.60,3,N/A,Intel HD 630 Graphics
Pentium G4560T,Launched,Q1'17,2,N/A,2.90,3,N/A,Intel HD 610 Graphics
Pentium G4560,Launched,Q1'17,2,N/A,3.50,3,N/A,Intel HD 610 Graphics
Pentium G4520,Discontinued,Q3'15,2,N/A,3.60,3,Intel Smart Cache,Intel HD 530 Graphics
Pentium G4500T,Discontinued,Q3'15,2,N/A,3.00,3,Intel Smart Cache,Intel HD 530 Graphics
Pentium G4500,Discontinued,Q3'15,2,N/A,3.50,3,Intel Smart Cache,Intel HD 530 Graphics
Pentium G4400TE,Launched,Q4'15,2,N/A,2.40,3,Intel Smart Cache,Intel HD 510 Graphics
Pentium G4400T,Discontinued,Q3'15,2,N/A,2.90,3,Intel Smart Cache,Intel HD 510 Graphics
Pentium G4400,Launched,Q3'15,2,N/A,3.30,3,Intel Smart Cache,Intel HD 510 Graphics
Pentium G3470,Discontinued,Q1'15,2,N/A,3.60,3,N/A,Intel HD Graphics for 4th Gen Intel Processors
Pentium G3460T,Discontinued,Q1'15,2,N/A,3.00,3,N/A,Intel HD Graphics for 4th Gen Intel Processors
Pentium G3460,Discontinued,Q3'14,2,N/A,3.50,3,Intel Smart Cache,Intel HD Graphics for 4th Gen Intel Processors
Pentium G3450T,Discontinued,Q3'14,2,N/A,2.90,3,Intel Smart Cache,Intel HD Graphics for 4th Gen Intel Processors
Pentium G3450,Discontinued,Q2'14,2,N/A,3.40,3,Intel Smart Cache,Intel HD Graphics for 4th Gen Intel Processors
Pentium G3440T,Discontinued,Q2'14,2,N/A,2.80,3,Intel Smart Cache,Intel HD Graphics for 4th Gen Intel Processors
Pentium G3440,Discontinued,Q2'14,2,N/A,3.30,3,Intel Smart Cache,Intel HD Graphics for 4th Gen Intel Processors
Pentium G3430,Discontinued,Q3'13,2,N/A,3.30,3,Intel Smart Cache,Intel HD Graphics for 4th Gen Intel Processors
Pentium G3420T,Discontinued,Q3'13,2,N/A,2.70,3,Intel Smart Cache,Intel HD Graphics for 4th Gen Intel Processors
Pentium G3420,Launched,Q3'13,2,N/A,3.20,3,Intel Smart Cache,Intel HD Graphics for 4th Gen Intel Processors
Pentium G3260,Discontinued,Q1'15,2,N/A,3.30,3,N/A,Intel HD Graphics for 4th Gen Intel Processors
Pentium G3258,Discontinued,Q2'14,2,N/A,3.20,3,N/A,Intel HD Graphics for 4th Gen Intel Processors
Pentium G3320TE,Launched,Q3'13,2,N/A,2.30,3,Intel Smart Cache,Intel HD Graphics for 4th Gen Intel Processors
Pentium G3260T,Discontinued,Q1'15,2,N/A,2.90,3,N/A,Intel HD Graphics for 4th Gen Intel Processors
Pentium G3250T,Discontinued,Q3'14,2,N/A,2.80,3,Intel Smart Cache,Intel HD Graphics for 4th Gen Intel Processors
Pentium G3250,Discontinued,Q3'14,2,N/A,3.20,3,Intel Smart Cache,Intel HD Graphics for 4th Gen Intel Processors
Pentium G3240T,Discontinued,Q2'14,2,N/A,2.70,3,Intel Smart Cache,Intel HD Graphics for 4th Gen Intel Processors
Pentium G3240,Discontinued,Q2'14,2,N/A,3.10,3,Intel Smart Cache,Intel HD Graphics for 4th Gen Intel Processors
Pentium G3220T,Discontinued,Q3'13,2,N/A,2.60,3,Intel Smart Cache,Intel HD Graphics for 4th Gen Intel Processors
Pentium G3220,Discontinued,Q3'13,2,N/A,3.00,3,Intel Smart Cache,Intel HD Graphics for 4th Gen Intel Processors
Pentium G2140,Discontinued,Q2'13,2,N/A,3.30,3,Intel Smart Cache,Intel HD Graphics for 3rd Gen Intel Processors
Pentium G2130,Launched,Q1'13,2,N/A,3.20,3,Intel Smart Cache,Intel HD Graphics for 3rd Gen Intel Processors
Pentium G2120T,Discontinued,Q2'13,2,N/A,2.70,3,Intel Smart Cache,Intel HD Graphics for 3rd Gen Intel Processors
Pentium G2120,Launched,Q3'12,2,N/A,3.10,3,Intel Smart Cache,Intel HD Graphics for 3rd Gen Intel Processors
Pentium G2100T,Discontinued,Q3'12,2,N/A,2.60,3,Intel Smart Cache,Intel HD Graphics for 3rd Gen Intel Processors
Pentium G2030T,Launched,Q2'13,2,N/A,2.60,3,Intel Smart Cache,Intel HD Graphics for 3rd Gen Intel Processors
Pentium G2030,Discontinued,Q2'13,2,N/A,3.00,3,Intel Smart Cache,Intel HD Graphics for 3rd Gen Intel Processors
