Product,Status,Release Date,Cores,Max. Turbo Freq.(GHz),Base Freq.(GHz),Cache(MB),Cache Info,Integrated Graphics
Quark SoC X1000,Launched,Q4'13,1,N/A,0.40,0.016,N/A,N/A
Quark SoC X1010,Launched,Q1'14,1,N/A,0.40,0.016,N/A,N/A
Quark SoC X1011,Launched,Q2'14,1,N/A,0.40,0.016,N/A,N/A
Quark SoC X1020,Launched,Q2'14,1,N/A,0.40,0.016,N/A,N/A
Quark SoC X1020D,Launched,Q1'14,1,N/A,0.40,0.016,N/A,N/A
Quark SoC X1021,Launched,Q2'14,1,N/A,0.40,0.016,N/A,N/A
Quark SoC X1021D,Launched,Q2'14,1,N/A,0.40,0.16,N/A,N/A
Quark Microcontroller D1000,Launched,Q3'15,1,N/A,0.033,0,N/A,N/A
Quark Microcontroller D2000,Launched,Q3'15,1,N/A,0.032,0,N/A,N/A
Quark Microcontroller SE C1000,Launched,Q4'15,1,N/A,0.032,0.008,N/A,N/A
