Product,Status,Release Date,Cores,Max. Turbo Freq.(GHz),Base Freq.(MHz),Cache(KB),Cache Info,Integrated Graphics
Quark SoC X1000,Discontinued,Q4'13,1,N/A,400,16,N/A,N/A
Quark SoC X1001,Discontinued,Q2'14,1,N/A,400,16,N/A,N/A
Quark SoC X1010,Discontinued,Q1'14,1,N/A,400,16,N/A,N/A
Quark SoC X1011,Discontinued,Q2'14,1,N/A,400,16,N/A,N/A
Quark SoC X1020D,Discontinued,Q1'14,1,N/A,400,16,N/A,N/A
Quark SoC X1021,Discontinued,Q2'14,1,N/A,400,16,N/A,N/A
Quark SoC X1021D,Discontinued,Q2'14,1,N/A,400,16,N/A,N/A
Quark SoC X1020,Discontinued,Q2'14,1,N/A,400,16,N/A,N/A
Quark D1000 Microcontroller,Discontinued,Q3'15,1,N/A,33,0,N/A,N/A
Quark D2000 Microcontroller,Discontinued,Q3'15,1,N/A,32,0,N/A,N/A
Quark SE C1000 Microcontroller,Discontinued,Q4'15,1,N/A,32,8,N/A,N/A
