Product,Status,Release Date,Cores,Threads,Lithography(nm),Max. Turbo Freq.(GHz),Base Freq.(GHz),TDP(W),Cache(MB),Cache Info,Integrated Graphics
Xeon Platinum 8444H,Launched,Q1'23,16,32,7,4,2.9,270,45,N/A,N/A
Xeon Platinum 8450H,Launched,Q1'23,28,56,7,3.5,2,250,75,N/A,N/A
Xeon Platinum 8452Y,Launched,Q1'23,36,72,7,3.2,2,300,67.5,N/A,N/A
Xeon Platinum 8454H,Launched,Q1'23,32,64,7,3.4,2.1,270,82.5,N/A,N/A
Xeon Platinum 8458P,Launched,Q1'23,44,88,7,3.8,2.7,350,82.5,N/A,N/A
Xeon Platinum 8460H,Launched,Q1'23,40,80,7,3.8,2.2,330,105,N/A,N/A
Xeon Platinum 8460Y+,Launched,Q1'23,40,80,7,3.7,2,300,105,N/A,N/A
Xeon Platinum 8461V,Launched,Q1'23,48,96,7,3.7,2.2,300,97.5,N/A,N/A
Xeon Platinum 8462Y+,Launched,Q1'23,32,64,7,4.1,2.8,300,60,N/A,N/A
Xeon Platinum 8468,Launched,Q1'23,48,96,7,3.8,2.1,350,105,N/A,N/A
Xeon Platinum 8468H,Launched,Q1'23,48,96,7,3.8,2.1,330,105,N/A,N/A
Xeon Platinum 8468V,Launched,Q1'23,48,96,7,3.8,2.4,330,97.5,N/A,N/A
Xeon Platinum 8470,Launched,Q1'23,52,104,7,3.8,2,350,105,N/A,N/A
Xeon Platinum 8470N,Launched,Q1'23,52,104,7,3.6,1.7,300,97.5,N/A,N/A
Xeon Platinum 8470Q,Launched,Q1'23,52,104,7,3.8,2.1,350,105,N/A,N/A
Xeon Platinum 8471N,Launched,Q1'23,52,104,7,3.6,1.8,300,97.5,N/A,N/A
Xeon Platinum 8480+,Launched,Q1'23,56,112,7,3.8,2,350,105,N/A,N/A
Xeon Platinum 8490H,Launched,Q1'23,60,120,7,3.5,1.9,350,112.5,N/A,N/A
Xeon Gold 5411N,Launched,Q1'23,24,48,7,3.9,1.9,165,45,N/A,N/A
Xeon Gold 5412U,Launched,Q1'23,24,48,7,3.9,2.1,185,45,N/A,N/A
Xeon Gold 5415+,Launched,Q1'23,8,16,7,4.1,2.9,150,22.5,N/A,N/A
Xeon Gold 5416S,Launched,Q1'23,16,32,7,4,2,150,30,N/A,N/A
Xeon Gold 5418N,Launched,Q1'23,24,48,7,3.8,1.8,165,45,N/A,N/A
Xeon Gold 5418Y,Launched,Q1'23,24,48,7,3.8,2,185,45,N/A,N/A
Xeon Gold 5420+,Launched,Q1'23,28,56,7,4.1,2,205,52.5,N/A,N/A
Xeon Gold 5423N,Launched,Q1'23,20,40,7,4,2.1,145,37.5,N/A,N/A
Xeon Gold 5433N,Launched,Q1'23,20,40,7,4.1,2.3,160,37.5,N/A,N/A
Xeon Gold 6414U,Launched,Q1'23,32,64,7,3.4,2,250,60,N/A,N/A
Xeon Gold 6416H,Launched,Q1'23,18,36,7,4.2,2.2,165,45,N/A,N/A
Xeon Gold 6418H,Launched,Q1'23,24,48,7,4,2.1,185,60,N/A,N/A
Xeon Gold 6421N,Launched,Q1'23,32,64,7,3.6,1.8,185,60,N/A,N/A
Xeon Gold 6426Y,Launched,Q1'23,16,32,7,4.1,2.5,185,37.5,N/A,N/A
Xeon Gold 6428N,Launched,Q1'23,32,64,7,3.8,1.8,185,60,N/A,N/A
Xeon Gold 6430,Launched,Q1'23,32,64,7,3.4,2.1,270,60,N/A,N/A
Xeon Gold 6434,Launched,Q1'23,8,16,7,4.1,3.7,195,22.5,N/A,N/A
Xeon Gold 6434H,Launched,Q1'23,8,16,7,4.1,3.7,195,22.5,N/A,N/A
Xeon Gold 6438M,Launched,Q1'23,32,64,7,3.9,2.2,205,60,N/A,N/A
Xeon Gold 6438N,Launched,Q1'23,32,64,7,3.6,2,205,60,N/A,N/A
Xeon Gold 6438Y+,Launched,Q1'23,32,64,7,4,2,205,60,N/A,N/A
Xeon Gold 6442Y,Launched,Q1'23,24,48,7,4,2.6,225,60,N/A,N/A
Xeon Gold 6444Y,Launched,Q1'23,16,32,7,4,3.6,270,45,N/A,N/A
Xeon Gold 6448H,Launched,Q1'23,32,64,7,4.1,2.4,250,60,N/A,N/A
Xeon Gold 6448Y,Launched,Q1'23,32,64,7,4.1,2.1,225,60,N/A,N/A
Xeon Gold 6454S,Launched,Q1'23,32,64,7,3.4,2.2,270,60,N/A,N/A
Xeon Gold 6458Q,Launched,Q1'23,32,64,7,4,3.1,350,60,N/A,N/A
Xeon Silver 4410T,Launched,Q1'23,10,20,7,4,2.7,150,26.25,N/A,N/A
Xeon Silver 4410Y,Launched,Q1'23,12,24,7,3.9,2,150,30,N/A,N/A
Xeon Silver 4416+,Launched,Q1'23,20,40,7,3.9,2,165,37.5,N/A,N/A
Xeon Bronze 3408U,Launched,Q1'23,8,8,7,1.9,1.8,125,22.5,N/A,N/A
Xeon Gold 5315Y,Launched,Q2'21,8,16,10,3.6,3.2,140,12,N/A,N/A
Xeon Gold 5317,Launched,Q2'21,12,24,10,3.6,3,150,18,N/A,N/A
Xeon Gold 5318N,Launched,Q2'21,24,48,10,3.4,2.1,150,36,N/A,N/A
Xeon Gold 5318S,Launched,Q2'21,24,48,10,3.4,2.1,165,36,N/A,N/A
Xeon Gold 5318Y,Launched,Q2'21,24,48,10,3.4,2.1,165,36,N/A,N/A
Xeon Gold 5320,Launched,Q2'21,26,52,10,3.4,2.2,185,39,N/A,N/A
Xeon Gold 5320T,Launched,Q2'21,20,40,10,3.5,2.3,150,30,N/A,N/A
Xeon Gold 6312U,Launched,Q2'21,24,48,10,3.6,2.4,185,36,N/A,N/A
Xeon Gold 6314U,Launched,Q2'21,32,64,10,3.4,2.3,205,48,N/A,N/A
Xeon Gold 6326,Launched,Q2'21,16,32,10,3.5,2.9,185,24,N/A,N/A
Xeon Gold 6330,Launched,Q2'21,28,56,10,3.1,2,205,42,N/A,N/A
Xeon Gold 6330N,Launched,Q2'21,28,56,10,3.4,2.2,165,42,N/A,N/A
Xeon Gold 6334,Launched,Q2'21,8,16,10,3.7,3.6,165,18,N/A,N/A
Xeon Gold 6336Y,Launched,Q2'21,24,48,10,3.6,2.4,185,35,N/A,N/A
Xeon Gold 6338,Launched,Q2'21,32,64,10,3.2,2,205,48,N/A,N/A
Xeon Gold 6338N,Launched,Q2'21,32,64,10,3.5,2.2,185,48,N/A,N/A
Xeon Gold 6338T,Launched,Q2'21,24,48,10,3.4,2.1,165,36,N/A,N/A
Xeon Gold 6342,Launched,Q2'21,24,48,10,3.5,2.8,230,36,N/A,N/A
Xeon Gold 6346,Launched,Q2'21,16,32,10,3.6,3.1,205,36,N/A,N/A
Xeon Gold 6348,Launched,Q2'21,28,56,10,3.5,2.6,235,42,N/A,N/A
Xeon Gold 6354,Launched,Q2'21,18,36,10,3.6,3,205,39,N/A,N/A
Xeon Platinum 8351N,Launched,Q2'21,36,72,10,3.5,2.4,225,54,N/A,N/A
Xeon Platinum 8352M,Launched,Q2'21,32,64,10,3.5,2.3,185,48,N/A,N/A
Xeon Platinum 8352S,Launched,Q2'21,32,64,10,3.4,2.2,205,48,N/A,N/A
Xeon Platinum 8352V,Launched,Q2'21,36,72,10,3.5,2.1,195,54,N/A,N/A
Xeon Platinum 8352Y,Launched,Q2'21,32,64,10,3.4,2.2,205,48,N/A,N/A
Xeon Platinum 8358,Launched,Q2'21,32,64,10,3.4,2.6,250,48,N/A,N/A
Xeon Platinum 8358P,Launched,Q2'21,32,64,10,3.4,2.6,240,48,N/A,N/A
Xeon Platinum 8360Y,Launched,Q2'21,36,72,10,3.5,2.4,250,54,N/A,N/A
Xeon Platinum 8362,Launched,Q2'21,32,64,10,3.6,2.8,265,48,N/A,N/A
Xeon Platinum 8368,Launched,Q2'21,38,76,10,3.4,2.4,270,57,N/A,N/A
Xeon Platinum 8368Q,Launched,Q2'21,38,76,10,3.7,2.6,270,57,N/A,N/A
