Product,Status,Release Date,Code Name,Cores,Threads,Lithography(nm),Max. Turbo Freq.(GHz),Base Freq.(GHz),TDP(W),Cache(MB),Cache Info,Max Memory Size(GB),Memory Types,Max Memory Speed(MHz),Integrated Graphics
Xeon Bronze 3508U,Launched,Q4'23,Sapphire Rapids,8,8,7,2.20,2.10,125,22.5,N/A,4096,"DDR5 @ 4400 MT/s (1DPC & 2DPC)",N/A,N/A
Xeon Gold 5512U,Launched,Q4'23,Emerald Rapids,28,56,7,3.70,2.10,185,52.5,N/A,4096,"Up to DDR5 4800 MT/s 1DPC; Up to DDR5 4400 MT/s 2DPC",N/A,N/A
Xeon Gold 5515+,Launched,Q4'23,Emerald Rapids,8,16,7,4.10,3.20,165,22.5,N/A,4096,"Up to DDR5 4800 MT/s 1DPC; Up to DDR5 4400 MT/s 2DPC",N/A,N/A
Xeon Gold 5520+,Launched,Q4'23,Emerald Rapids,28,56,7,4.00,2.20,205,52.5,N/A,4096,"Up to DDR5 4800 MT/s 1DPC; Up to DDR5 4400 MT/s 2DPC",N/A,N/A
Xeon Gold 6526Y,Launched,Q4'23,Emerald Rapids,16,32,7,3.90,2.80,195,37.5,N/A,4096,"Up to DDR5 5200 MT/s 1DPC",N/A,N/A
Xeon Gold 6530,Launched,Q4'23,Emerald Rapids,32,64,7,4.00,2.10,270,160,N/A,4096,"DDR5 @ 4800 MT/s (1DPC)",N/A,N/A
Xeon Gold 6534,Launched,Q4'23,Emerald Rapids,8,16,7,4.20,3.90,195,22.5,N/A,4096,"Up to DDR5 4800 MT/s 1DPC",N/A,N/A
Xeon Gold 6538N,Launched,Q4'23,Emerald Rapids,32,64,7,4.10,2.10,205,60,N/A,4096,"Up to DDR5 5200 MT/s 1DPC",N/A,N/A
Xeon Gold 6538Y+,Launched,Q4'23,Emerald Rapids,32,64,7,4.00,2.20,225,60,N/A,4096,"Up to DDR5 5200 MT/s 1DPC",N/A,N/A
Xeon Gold 6542Y,Launched,Q4'23,Emerald Rapids,24,48,7,4.10,2.90,250,60,N/A,4096,"Up to DDR5 5200 MT/s 1DPC",N/A,N/A
Xeon Gold 6544Y,Launched,Q4'23,Emerald Rapids,16,32,7,4.10,3.60,270,45,N/A,4096,"Up to DDR5 5200 MT/s 1DPC",N/A,N/A
Xeon Gold 6548N,Launched,Q4'23,Emerald Rapids,32,64,7,4.10,2.80,250,60,N/A,4096,"Up to DDR5 5200 MT/s 1DPC",N/A,N/A
Xeon Gold 6548Y+,Launched,Q4'23,Emerald Rapids,32,64,7,4.10,2.50,250,60,N/A,4096,"Up to DDR5 5200 MT/s 1DPC",N/A,N/A
Xeon Gold 6554S,Launched,Q4'23,Emerald Rapids,36,72,7,4.00,2.20,270,180,N/A,4096,"DDR5 @ 5200 MT/s (1DPC)",N/A,N/A
Xeon Gold 6558Q,Launched,Q4'23,Emerald Rapids,32,64,7,4.10,3.20,350,60,N/A,4096,"Up to DDR5 5200 MT/s 1DPC",N/A,N/A
Xeon Platinum 8558,Launched,Q4'23,Emerald Rapids,48,96,7,4.00,2.10,330,260,N/A,4096,"DDR5 @ 5200 MT/s (1DPC)",N/A,N/A
Xeon Platinum 8558P,Launched,Q4'23,Emerald Rapids,48,96,7,4.00,2.70,350,260,N/A,4096,"DDR5 @ 5200 MT/s (1DPC)",N/A,N/A
Xeon Platinum 8558U,Launched,Q4'23,Emerald Rapids,48,96,7,4.00,2.00,300,260,N/A,4096,"DDR5 @ 5200 MT/s (1DPC)",N/A,N/A
Xeon Platinum 8562Y+,Launched,Q4'23,Emerald Rapids,32,64,7,4.10,2.80,300,60,N/A,4096,"Up to DDR5 5200 MT/s 1DPC",N/A,N/A
