Product,Status,Release Date,Cores,Max. Turbo Freq.(GHz),Base Freq.(GHz),Cache(MB),Cache Info,Integrated Graphics
Atom C2316,Launched,Q3'17,2,N/A,1.50,1,N/A,N/A
Atom C2516,Launched,Q3'17,4,N/A,1.40,2,N/A,N/A
Atom C3336,Launched,Q3'18,2,N/A,1.50,4,N/A,N/A
Atom C3338R,Launched,Q2'20,2,2.20,1.80,4,N/A,N/A
Atom C3758R,Launched,Q2'20,8,N/A,2.40,16,N/A,N/A
Atom C3558R,Launched,Q2'20,4,N/A,2.40,8,N/A,N/A
Atom C3436L,Launched,Q2'20,4,N/A,1.30,8,N/A,N/A
Atom C2338,Launched,Q3'13,2,2.00,1.70,1,N/A,N/A
Atom C2350,Launched,Q3'13,2,2.00,1.70,1,N/A,N/A
Atom C2358,Launched,Q3'13,2,2.00,1.70,1,N/A,N/A
Atom C2518,Launched,Q3'13,4,N/A,1.70,2,N/A,N/A
Atom C2530,Launched,Q3'13,4,2.40,1.70,2,N/A,N/A
Atom C2538,Launched,Q3'13,4,N/A,2.40,2,N/A,N/A
Atom C2550,Launched,Q3'13,4,2.60,2.40,2,N/A,N/A
Atom C2558,Launched,Q3'13,4,N/A,2.40,2,N/A,N/A
Atom C2718,Launched,Q3'13,8,N/A,2.00,4,N/A,N/A
Atom C2730,Launched,Q3'13,8,2.40,1.70,4,N/A,N/A
Atom C2738,Launched,Q3'13,8,N/A,2.40,4,N/A,N/A
Atom C2750,Launched,Q3'13,8,2.60,2.40,4,N/A,N/A
Atom C2758,Launched,Q3'13,8,N/A,2.40,4,N/A,N/A
Atom C2508,Launched,Q2'14,4,N/A,1.25,2,N/A,N/A
Atom C2308,Launched,Q2'14,2,N/A,1.25,1,N/A,N/A
Atom C3758,Launched,Q3'17,8,2.20,2.20,16,N/A,N/A
Atom C3958,Launched,Q3'17,16,2.00,2.00,16,N/A,N/A
Atom C3338,Launched,Q1'17,2,2.20,1.50,4,N/A,N/A
Atom C3538,Launched,Q3'17,4,2.10,2.10,8,N/A,N/A
Atom C3508,Launched,Q3'17,4,1.60,1.60,8,N/A,N/A
Atom C3830,Launched,Q3'17,12,2.30,1.90,12,N/A,N/A
Atom C3850,Launched,Q3'17,12,2.40,2.10,12,N/A,N/A
Atom C3955,Launched,Q3'17,16,2.40,2.10,16,N/A,N/A
Atom C3708,Launched,Q3'17,8,1.70,1.70,16,N/A,N/A
Atom C3308,Launched,Q3'17,2,2.10,1.60,4,N/A,N/A
Atom C3858,Launched,Q3'17,12,2.00,2.00,12,N/A,N/A
Atom C3558,Launched,Q3'17,4,2.20,2.20,8,N/A,N/A
Atom C3750,Launched,Q3'17,8,2.40,2.20,16,N/A,N/A
Atom C3808,Launched,Q3'17,12,2.00,2.00,12,N/A,N/A
Atom C3950,Launched,Q3'17,16,2.20,1.70,16,N/A,N/A
Atom D2500,Discontinued,Q3'11,2,N/A,1.86,1,L2 Cache,Yes (Name Unknown)
Atom D2700,Discontinued,Q3'11,2,N/A,2.13,1,L2 Cache,Yes (Name Unknown)
Atom D2550,Discontinued,Q1'12,2,N/A,1.86,1,L2 Cache,Yes (Name Unknown)
Atom E3825,Launched,Q4'13,2,N/A,1.33,1,L2 Cache,Intel HD Graphics for Intel Atom Z3700 Processor Series
Atom E3845,Launched,Q4'13,4,N/A,1.91,2,L2 Cache,Intel HD Graphics for Intel Atom Z3700 Processor Series
Atom E3815,Launched,Q4'13,1,N/A,1.46,0.5,L2 Cache,Intel HD Graphics for Intel Atom Z3700 Processor Series
Atom E3826,Launched,Q4'13,2,N/A,1.46,1,L2 Cache,Intel HD Graphics for Intel Atom Z3700 Processor Series
Atom E3827,Launched,Q4'13,2,N/A,1.75,1,L2 Cache,Intel HD Graphics for Intel Atom Z3700 Processor Series
Atom E3805,Launched,Q4'14,2,N/A,1.33,1,L2 Cache,N/A
Atom N2600,Discontinued,Q4'11,2,N/A,1.60,1,L2 Cache,Yes (Name Unknown)
Atom N2800,Discontinued,Q4'11,2,N/A,1.86,1,L2 Cache,Yes (Name Unknown)
Atom P5931B,Launched,Q1'20,12,N/A,2.20,13.5,L2 Cache,N/A
Atom P5962B,Launched,Q1'20,24,N/A,2.20,27,L2 Cache,N/A
Atom P5921B,Launched,Q1'20,8,N/A,2.20,9,L2 Cache,N/A
Atom P5942B,Launched,Q1'20,16,N/A,2.20,18,L2 Cache,N/A
Atom S1260,Discontinued,Q4'12,2,N/A,2.00,1,L2 Cache,N/A
Atom S1240,Discontinued,Q4'12,2,N/A,1.60,1,L2 Cache,N/A
Atom S1220,Discontinued,Q4'12,2,N/A,1.60,1,L2 Cache,N/A
Atom x6425RE,Launched,Q1'21,4,N/A,1.90,1.5,L2 Cache,Intel UHD Graphics for 10th Generation Intel Core Processors
Atom x6427FE,Launched,Q1'21,4,N/A,1.90,1.5,L2 Cache,Intel UHD Graphics for 10th Generation Intel Core Processors
Atom x6414RE,Launched,Q1'21,4,N/A,1.50,1.5,L2 Cache,Intel UHD Graphics for 10th Generation Intel Core Processors
Atom x6212RE,Launched,Q1'21,2,N/A,1.20,1.5,L2 Cache,Intel UHD Graphics for 10th Generation Intel Core Processors
Atom x6200FE,Launched,Q1'21,2,N/A,1.00,1.5,N/A,N/A
Atom x6211E,Launched,Q1'21,2,N/A,1.30,1.5,L2 Cache,Intel UHD Graphics for 10th Generation Intel Core Processors
Atom x6425E,Launched,Q1'21,4,N/A,2.00,1.5,L2 Cache,Intel UHD Graphics for 10th Generation Intel Core Processors
Atom x6413E,Launched,Q1'21,4,N/A,1.50,1.5,L2 Cache,Intel UHD Graphics for 10th Generation Intel Core Processors
Atom x5-Z8500,Launched,Q1'15,4,N/A,1.44,2,N/A,Yes (Name Unknown)
Atom x7-Z8700,Launched,Q1'15,4,N/A,1.60,2,N/A,Yes (Name Unknown)
Atom x3-Z8300,Discontinued,Q2'15,4,N/A,1.44,2,N/A,Yes (Name Unknown)
Atom x3-C3445,Announced,Q1'15,4,N/A,1.20,1,N/A,Yes (Name Unknown)
Atom x3-C3230RK,Discontinued,Q1'15,4,N/A,N/A,1,N/A,Yes (Name Unknown)
Atom x3-C3405,Announced,Q1'14,4,N/A,1.20,1,N/A,Yes (Name Unknown)
Atom x3-C3200RK,Discontinued,Q1'15,4,N/A,N/A,1,N/A,Yes (Name Unknown)
Atom x5-Z8330,Launched,Q1'16,4,N/A,1.44,2,L2 Cache,Yes (Name Unknown)
Atom x5-E8000,Launched,Q1'16,4,N/A,1.04,2,N/A,Intel HD Graphics for Intel Celeron N3000 Processor Series
Atom x5-Z8550,Launched,Q1'16,4,N/A,1.44,2,N/A,Yes (Name Unknown)
Atom x5-Z8350,Launched,Q1'16,4,N/A,1.44,2,N/A,Yes (Name Unknown)
Atom x7-Z8750,Launched,Q1'16,4,N/A,1.60,2,N/A,Yes (Name Unknown)
Atom x3-C3235RK,Launched,Q4'15,4,N/A,N/A,1,N/A,Yes (Name Unknown)
Atom x3-C3205RK,Discontinued,Q4'16,4,N/A,N/A,1,N/A,Yes (Name Unknown)
Atom x5-E3940,Launched,Q4'16,4,N/A,1.60,2,L2 Cache,Intel HD 500 Graphics
Atom x5-E3930,Launched,Q4'16,2,N/A,1.30,2,L2 Cache,Intel HD 500 Graphics
Atom x7-E3950,Launched,Q4'16,4,N/A,1.60,2,L2 Cache,Intel HD 505 Graphics
Atom x3-C3265RK,Discontinued,Q4'16,4,N/A,N/A,1,L2 Cache,Yes (Name Unknown)
Atom x3-C3295RK,Launched,Q4'16,4,N/A,N/A,1,L2 Cache,Yes (Name Unknown)
Atom Z2480,Discontinued,Q3'12,1,N/A,N/A,0.5,Intel Smart Cache,Yes (Name Unknown)
Atom Z2460,Discontinued,Q2'12,1,N/A,N/A,0.5,Intel Smart Cache,Yes (Name Unknown)
Atom Z2580,Discontinued,Q2'13,2,N/A,N/A,1,Intel Smart Cache,Yes (Name Unknown)
Atom Z2560,Discontinued,Q2'13,2,N/A,N/A,1,Intel Smart Cache,Yes (Name Unknown)
Atom Z3480,Discontinued,Q1'14,2,N/A,N/A,1,Intel Smart Cache,Yes (Name Unknown)
Atom Z3460,Discontinued,Q1'14,2,N/A,N/A,1,Intel Smart Cache,Yes (Name Unknown)
Atom Z2760,Discontinued,Q3'12,2,N/A,1.80,1,L2 Cache,Yes (Name Unknown)
Atom Z2420,Discontinued,Q1'13,1,N/A,N/A,0.5,Intel Smart Cache,Yes (Name Unknown)
Atom Z2520,Discontinued,Q2'13,2,N/A,1.20,1,Intel Smart Cache,Yes (Name Unknown)
Atom Z3740,Discontinued,Q3'13,4,N/A,1.33,2,L2 Cache,Intel HD Graphics for Intel Atom Z3700 Processor Series
Atom Z3770,Discontinued,Q3'13,4,N/A,1.46,2,L2 Cache,Intel HD Graphics for Intel Atom Z3700 Processor Series
Atom Z3770D,Discontinued,Q3'13,4,N/A,1.50,2,L2 Cache,Intel HD Graphics for Intel Atom Z3700 Processor Series
Atom Z3740D,Discontinued,Q3'13,4,N/A,1.33,2,L2 Cache,Intel HD Graphics for Intel Atom Z3700 Processor Series
Atom Z3795,Discontinued,Q1'14,4,N/A,1.59,2,L2 Cache,Intel HD Graphics for Intel Atom Z3700 Processor Series
Atom Z3775,Discontinued,Q1'14,4,N/A,1.46,2,L2 Cache,Intel HD Graphics for Intel Atom Z3700 Processor Series
Atom Z3775D,Discontinued,Q1'14,4,N/A,1.49,2,L2 Cache,Intel HD Graphics for Intel Atom Z3700 Processor Series
Atom Z3745,Discontinued,Q1'14,4,N/A,1.33,2,L2 Cache,Intel HD Graphics for Intel Atom Z3700 Processor Series
Atom Z3745D,Discontinued,Q1'14,4,N/A,1.33,2,L2 Cache,Intel HD Graphics for Intel Atom Z3700 Processor Series
Atom Z3735D,Discontinued,Q1'14,4,N/A,1.33,2,L2 Cache,Intel HD Graphics for Intel Atom Z3700 Processor Series
Atom Z3735E,Discontinued,Q1'14,4,N/A,1.33,2,L2 Cache,Intel HD Graphics for Intel Atom Z3700 Processor Series
Atom Z3735F,Discontinued,Q1'14,4,N/A,1.33,2,L2 Cache,Intel HD Graphics for Intel Atom Z3700 Processor Series
