Product,Status,Release Date,Cores,Max. Turbo Freq.(GHz),Base Freq.(GHz),Cache(MB),Cache Info,Integrated Graphics
Pentium Gold 4415Y,Launched,Q2'17,2,N/A,1.60,2,Intel Smart Cache,Intel HD 615 Graphics
Pentium Gold G5600,Discontinued,Q2'18,2,N/A,3.90,4,Intel Smart Cache,Intel UHD 630 Graphics
Pentium Gold G5500,Discontinued,Q2'18,2,N/A,3.80,4,Intel Smart Cache,Intel UHD 630 Graphics
Pentium Gold G5500T,Discontinued,Q2'18,2,N/A,3.20,4,Intel Smart Cache,Intel UHD 630 Graphics
Pentium Gold G5400T,Launched,Q2'18,2,N/A,3.10,4,Intel Smart Cache,Intel UHD 610 Graphics
Pentium Gold G5400,Launched,Q2'18,2,N/A,3.70,4,Intel Smart Cache,Intel UHD 610 Graphics
Pentium Gold G5600T,Launched,Q2'19,2,N/A,3.30,4,Intel Smart Cache,Intel UHD 630 Graphics
Pentium Gold G5420T,Launched,Q2'19,2,N/A,3.20,4,Intel Smart Cache,Intel UHD 610 Graphics
Pentium Gold G5420,Launched,Q2'19,2,N/A,3.80,4,Intel Smart Cache,Intel UHD 610 Graphics
Pentium Gold G5620,Launched,Q2'19,2,N/A,4.00,4,Intel Smart Cache,Intel UHD 630 Graphics
Pentium Gold 4417U,Launched,Q1'19,2,N/A,2.30,2,Intel Smart Cache,Intel UHD 610 Graphics
Pentium Gold 5405U,Launched,Q1'19,2,N/A,2.30,2,Intel Smart Cache,Intel UHD Graphics for 8th Generation Intel Processors
Pentium Gold 4425Y,Launched,Q1'19,2,N/A,1.70,2,N/A,Intel UHD 615 Graphics
Pentium Gold 6405U,Launched,Q4'19,2,N/A,2.40,2,N/A,Intel UHD Graphics for 10th Generation Intel Core Processors
Pentium Gold G6600,Launched,Q2'20,2,N/A,4.20,4,Intel Smart Cache,Intel UHD 630 Graphics
Pentium Gold G6500T,Launched,Q2'20,2,N/A,3.50,4,Intel Smart Cache,Intel UHD 630 Graphics
Pentium Gold G6500,Launched,Q2'20,2,N/A,4.10,4,Intel Smart Cache,Intel UHD 630 Graphics
Pentium Gold G6400,Launched,Q2'20,2,N/A,4.00,4,Intel Smart Cache,Intel UHD 610 Graphics
Pentium Gold G6400T,Launched,Q2'20,2,N/A,3.40,4,Intel Smart Cache,Intel UHD 610 Graphics
Pentium Gold G6405T,Launched,Q1'21,2,N/A,3.50,4,Intel Smart Cache,Intel UHD 610 Graphics
Pentium Gold G6405,Launched,Q1'21,2,N/A,4.10,4,Intel Smart Cache,Intel UHD 610 Graphics
Pentium Gold G6505,Launched,Q1'21,2,N/A,4.20,4,Intel Smart Cache,Intel UHD 630 Graphics
Pentium Gold G6505T,Launched,Q1'21,2,N/A,3.60,4,Intel Smart Cache,Intel UHD 630 Graphics
Pentium Gold G6605,Launched,Q1'21,2,N/A,4.30,4,Intel Smart Cache,Intel UHD 630 Graphics
Pentium Gold G6400TE,Launched,Q2'20,2,N/A,3.20,4,Intel Smart Cache,Intel UHD 610 Graphics
Pentium Gold G6400E,Launched,Q2'20,2,N/A,3.80,4,Intel Smart Cache,Intel UHD 610 Graphics
Pentium Gold 7505,Launched,Q4'20,2,3.50,N/A,4,Intel Smart Cache,Intel UHD Graphics for 11th Generation Intel Core Processors
